split_seed,phenotype,Lambda,K_eff,rbar_E,wild_lo,wild_hi,wild_se,negative_diagonals,min_diagonal,diag_arc_challenge,diag_arc_easy,diag_boolq,diag_csqa,diag_hellaswag,diag_mmlu,diag_openbookqa,diag_piqa,diag_socialiqa,diag_winogrande
"25","margin","1.24571","6.44419","0.0613095","1.14528","1.33938","0.0452898","1","-4.96742e-07","1.39915e-05","8.19176e-05","0.00143131","0.000433118","6.7589e-07","1.39477e-05","2.92636e-05","7.22765e-07","9.69961e-05","-4.96742e-07"
"25","accuracy","1.09183","8.38862","0.0213435","0.994606","1.17963","0.0428433","2","-2.60904e-05","1.67387e-05","9.17338e-05","0.00189837","0.000178223","5.19282e-06","9.9556e-07","1.14773e-05","-2.15181e-06","4.10213e-05","-2.60904e-05"
"26","margin","1.24399","6.46202","0.0608338","1.14341","1.33809","0.0449552","1","-2.77325e-07","1.39052e-05","8.16692e-05","0.00143418","0.000434051","6.66516e-07","1.39626e-05","2.33519e-05","6.89321e-07","9.79845e-05","-2.77325e-07"
"26","accuracy","1.06593","8.80126","0.0151334","0.9757","1.14727","0.0394445","2","-1.46948e-05","1.95343e-05","8.79209e-05","0.00191887","0.000182247","5.63105e-06","1.40464e-06","1.22667e-05","-3.47163e-06","4.78128e-05","-1.46948e-05"
"27","margin","1.24877","6.4126","0.0621588","1.14771","1.34295","0.0451249","1","-2.10949e-07","1.295e-05","8.16051e-05","0.00143365","0.000432398","6.88171e-07","1.41784e-05","2.40201e-05","7.6298e-07","9.68209e-05","-2.10949e-07"
"27","accuracy","1.08106","8.5566","0.0187431","0.991929","1.16216","0.0393799","1","-9.16637e-06","1.451e-05","9.11443e-05","0.00191412","0.00018556","5.10894e-06","2.0633e-06","2.26347e-05","7.07271e-07","4.69495e-05","-9.16637e-06"
"28","margin","1.2443","6.45876","0.0609205","1.14366","1.33788","0.0450521","1","-4.69837e-07","1.39716e-05","8.14689e-05","0.00142771","0.000435815","6.8515e-07","1.38937e-05","2.67599e-05","5.43119e-07","9.97046e-05","-4.69837e-07"
"28","accuracy","1.0804","8.56702","0.0185852","0.982627","1.16725","0.0439857","2","-2.2984e-05","1.44129e-05","8.88175e-05","0.00189662","0.000184129","5.17606e-06","7.84226e-07","1.48693e-05","-1.05143e-06","4.69886e-05","-2.2984e-05"
"29","margin","1.24387","6.46321","0.060802","1.14183","1.33863","0.0454207","1","-3.61369e-09","1.34348e-05","8.14066e-05","0.00143189","0.000435083","6.77155e-07","1.43676e-05","2.82404e-05","6.32075e-07","9.89625e-05","-3.61369e-09"
"29","accuracy","1.08366","8.51557","0.0193689","0.997878","1.16258","0.0393735","2","-1.32163e-05","1.65756e-05","9.30328e-05","0.00191617","0.000182712","5.42701e-06","1.57315e-06","3.3152e-05","-1.52347e-06","4.63531e-05","-1.32163e-05"
"30","margin","1.24675","6.43337","0.0615995","1.14706","1.33985","0.0447669","1","-3.96751e-07","1.44157e-05","8.12473e-05","0.00142183","0.000432936","6.73071e-07","1.42203e-05","2.9295e-05","7.56902e-07","9.82929e-05","-3.96751e-07"
"30","accuracy","1.09032","8.41191","0.0209768","1.00191","1.16996","0.039161","2","-1.4429e-05","1.07476e-05","8.88175e-05","0.0018902","0.000182569","5.76713e-06","5.10489e-07","2.31253e-05","-1.5961e-06","5.30817e-05","-1.4429e-05"
"31","margin","1.24427","6.45907","0.0609123","1.14123","1.33947","0.0454106","1","-2.43656e-07","1.37448e-05","8.202e-05","0.00143117","0.000435349","6.77733e-07","1.39452e-05","2.96233e-05","6.99047e-07","9.74857e-05","-2.43656e-07"
"31","accuracy","1.08158","8.54841","0.0188675","0.987217","1.16554","0.0412424","1","-4.08218e-05","1.60903e-05","8.82412e-05","0.00190056","0.000191176","6.64344e-06","1.08184e-06","2.13973e-05","1.4698e-06","4.9394e-05","-4.08218e-05"
"32","margin","1.24757","6.42496","0.0618256","1.14423","1.34344","0.0464148","1","-4.2275e-07","1.36591e-05","8.21759e-05","0.00140963","0.000431741","6.73958e-07","1.37937e-05","2.38007e-05","7.53061e-07","9.81076e-05","-4.2275e-07"
"32","accuracy","1.10649","8.16773","0.0249256","1.01314","1.1915","0.0412106","2","-1.51798e-05","1.18852e-05","8.9783e-05","0.00184805","0.00018331","5.89105e-06","1.20979e-06","3.50293e-05","-6.29439e-06","3.94582e-05","-1.51798e-05"
"33","margin","1.24499","6.45159","0.0611117","1.14444","1.33927","0.0452529","1","-2.84338e-07","1.39921e-05","8.13028e-05","0.00143353","0.00043421","6.72359e-07","1.36961e-05","2.82758e-05","6.36566e-07","9.82499e-05","-2.84338e-07"
"33","accuracy","1.08663","8.46916","0.0200839","1.00002","1.16749","0.039756","2","-1.75586e-05","8.63532e-06","8.79549e-05","0.00191921","0.000189971","5.33858e-06","5.26588e-07","2.2528e-05","-3.15114e-06","4.85154e-05","-1.75586e-05"
"34","margin","1.24624","6.43871","0.0614563","1.14616","1.33952","0.0449194","1","-4.5093e-07","1.38302e-05","8.0943e-05","0.00142521","0.000433738","6.70197e-07","1.42414e-05","2.88024e-05","6.71608e-07","9.78742e-05","-4.5093e-07"
"34","accuracy","1.09401","8.35521","0.0218731","1.00313","1.17827","0.0414861","1","-4.01805e-05","4.36425e-06","8.48241e-05","0.00191284","0.000186061","5.33863e-06","1.74074e-06","2.8672e-05","4.75198e-07","4.87081e-05","-4.01805e-05"
"35","margin","1.25026","6.39734","0.0625722","1.14789","1.34579","0.0461586","0","7.61413e-08","1.38441e-05","8.14684e-05","0.00142789","0.000428932","6.72511e-07","1.41686e-05","1.81718e-05","6.48752e-07","9.74271e-05","7.61413e-08"
"35","accuracy","1.09018","8.41397","0.0209444","1.00708","1.16537","0.0365759","1","-2.75646e-06","1.18697e-05","8.73645e-05","0.00190737","0.000174638","5.90168e-06","5.43283e-07","3.86133e-06","-2.75646e-06","4.90965e-05","7.80088e-06"
"36","margin","1.24323","6.46991","0.0606239","1.14163","1.33776","0.0455568","1","-9.64229e-08","1.44133e-05","8.17194e-05","0.00142387","0.000434929","6.75388e-07","1.38225e-05","2.90555e-05","6.48378e-07","9.86264e-05","-9.64229e-08"
"36","accuracy","1.0909","8.40288","0.0211187","1.00375","1.17158","0.0401644","2","-2.54226e-05","3.36638e-06","8.45908e-05","0.00190479","0.00018806","5.66961e-06","1.56236e-06","2.16533e-05","-2.18023e-06","4.78058e-05","-2.54226e-05"
"37","margin","1.24631","6.43792","0.0614775","1.1453","1.34081","0.0453003","1","-1.11791e-07","1.48794e-05","8.18033e-05","0.0014287","0.000429726","6.53991e-07","1.43557e-05","3.2836e-05","7.29282e-07","9.8092e-05","-1.11791e-07"
"37","accuracy","1.0843","8.50555","0.0195225","0.984278","1.17504","0.044886","2","-2.74592e-05","9.67202e-06","8.91066e-05","0.00190521","0.000178201","5.56558e-06","9.87737e-07","1.28e-05","-5.17665e-06","5.58446e-05","-2.74592e-05"
"38","margin","1.24537","6.44767","0.0612165","1.14411","1.33978","0.0450955","1","-2.02575e-07","1.51672e-05","8.18547e-05","0.00143318","0.000434355","6.70107e-07","1.41726e-05","2.74461e-05","5.935e-07","9.78575e-05","-2.02575e-07"
"38","accuracy","1.07658","8.62791","0.0176698","0.990755","1.15539","0.0394775","2","-4.50544e-05","1.14542e-05","9.04074e-05","0.00191439","0.000185156","5.55183e-06","1.32674e-06","4.79147e-05","-2.42493e-06","5.25076e-05","-4.50544e-05"
"39","margin","1.24528","6.4486","0.0611916","1.14495","1.33873","0.0448282","1","-8.35712e-08","1.43424e-05","8.15887e-05","0.00143229","0.000431308","6.77469e-07","1.4322e-05","2.94677e-05","6.61938e-07","9.85783e-05","-8.35712e-08"
"39","accuracy","1.07725","8.61723","0.0178296","0.987085","1.16282","0.0420032","2","-2.82566e-05","8.44118e-06","9.074e-05","0.0019151","0.000184945","5.5156e-06","2.54474e-06","3.86133e-05","-2.19286e-06","3.8127e-05","-2.82566e-05"
"40","margin","1.24587","6.44248","0.0613553","1.14522","1.33958","0.0447516","1","-2.85966e-07","1.32148e-05","8.12246e-05","0.00143103","0.000434403","6.73944e-07","1.42467e-05","3.10521e-05","6.47541e-07","9.77397e-05","-2.85966e-07"
"40","accuracy","1.09333","8.36565","0.0217072","1.00218","1.17566","0.0414665","2","-2.93463e-05","2.24037e-05","8.86578e-05","0.00190232","0.000175901","6.23033e-06","1.32719e-06","2.76693e-05","-1.0167e-06","5.03508e-05","-2.93463e-05"
"41","margin","1.24337","6.46845","0.0606629","1.1417","1.33798","0.0456086","1","-1.81363e-07","1.37352e-05","8.11332e-05","0.00143324","0.000433861","6.79637e-07","1.35976e-05","2.99091e-05","5.75796e-07","9.83434e-05","-1.81363e-07"
"41","accuracy","1.07963","8.57934","0.0183989","0.992638","1.15908","0.0383538","2","-3.66256e-05","2.50323e-05","9.16705e-05","0.00191063","0.000194722","5.425e-06","9.61569e-07","2.96533e-05","-3.63266e-06","4.98773e-05","-3.66256e-05"
"42","margin","1.24541","6.44727","0.0612272","1.14219","1.34123","0.0456337","1","-1.00995e-07","1.35116e-05","8.16591e-05","0.00142326","0.000431017","6.43629e-07","1.41225e-05","2.93247e-05","6.89723e-07","9.84046e-05","-1.00995e-07"
"42","accuracy","1.08805","8.44698","0.0204284","1.00168","1.16762","0.0395763","2","-1.20834e-05","8.69356e-06","8.78529e-05","0.00187687","0.000182365","5.15649e-06","1.15947e-06","2.8224e-05","-3.55372e-06","4.91928e-05","-1.20834e-05"
"43","margin","1.25142","6.38547","0.062895","1.14994","1.34523","0.045023","1","-3.2077e-07","1.36313e-05","8.16991e-05","0.00137607","0.000434837","6.61022e-07","1.40602e-05","2.46483e-05","4.71639e-07","9.85571e-05","-3.2077e-07"
"43","accuracy","1.09781","8.2974","0.0227996","1.01645","1.17296","0.0379443","2","-5.47524e-06","6.18528e-06","8.92889e-05","0.00180453","0.000194657","5.17764e-06","1.23553e-06","1.2608e-05","-4.83565e-06","5.17603e-05","-5.47524e-06"
"44","margin","1.24648","6.43616","0.0615247","1.14423","1.342","0.0456736","1","-2.9378e-07","1.4727e-05","8.16905e-05","0.00143273","0.000432662","6.61037e-07","1.39384e-05","3.04327e-05","5.68903e-07","9.51008e-05","-2.9378e-07"
"44","accuracy","1.07986","8.57561","0.0184553","0.987954","1.16268","0.0408542","1","-1.814e-06","1.33374e-05","8.96724e-05","0.00190807","0.000180115","5.8901e-06","1.18902e-06","2.60693e-05","1.8408e-06","4.83478e-05","-1.814e-06"
"45","margin","1.24452","6.45644","0.0609824","1.14281","1.33954","0.045419","1","-8.06672e-07","1.41268e-05","8.02792e-05","0.00143131","0.000434077","6.66334e-07","1.39999e-05","3.19632e-05","5.34435e-07","9.84823e-05","-8.06672e-07"
"45","accuracy","1.08247","8.53428","0.0190828","0.997134","1.15916","0.037774","1","-3.61007e-05","9.51671e-06","8.57566e-05","0.00191659","0.000182079","5.66136e-06","6.49396e-07","3.00373e-05","7.89365e-08","5.27855e-05","-3.61007e-05"
"46","margin","1.24595","6.4417","0.0613761","1.14474","1.34","0.0450029","1","-1.96114e-07","1.43439e-05","8.19361e-05","0.00143137","0.000436286","6.83392e-07","1.41522e-05","3.00945e-05","6.03793e-07","9.61025e-05","-1.96114e-07"
"46","accuracy","1.07889","8.59097","0.0182237","0.987695","1.16335","0.0415878","3","-2.10172e-05","5.10586e-06","8.70603e-05","0.00191339","0.000185528","5.34879e-06","-9.77173e-08","1.28213e-05","-1.52505e-06","4.79385e-05","-2.10172e-05"
"47","margin","1.24323","6.46988","0.0606249","1.14119","1.33764","0.0452083","1","-2.76959e-07","1.47422e-05","8.17823e-05","0.00143229","0.000436312","6.67598e-07","1.38704e-05","2.67235e-05","6.69307e-07","9.75341e-05","-2.76959e-07"
"47","accuracy","1.07552","8.64498","0.0174156","0.979135","1.16071","0.042144","2","-1.67214e-05","2.12932e-05","8.99039e-05","0.00191428","0.000181374","5.64121e-06","1.43869e-06","1.12213e-05","-4.38729e-06","5.56561e-05","-1.67214e-05"
"48","margin","1.24515","6.44994","0.0611557","1.1455","1.33798","0.0449246","1","-5.19606e-07","1.43577e-05","8.11858e-05","0.00143052","0.000436492","6.73635e-07","1.42968e-05","3.14522e-05","6.82399e-07","9.44297e-05","-5.19606e-07"
"48","accuracy","1.07996","8.57409","0.0184783","0.993932","1.15808","0.0391207","2","-3.28913e-05","2.21707e-05","8.6313e-05","0.00190546","0.000183621","5.32573e-06","1.26558e-06","2.41067e-05","-3.08168e-06","4.84819e-05","-3.28913e-05"
"49","margin","1.24821","6.41834","0.062004","1.14908","1.34131","0.0446942","1","-4.0987e-07","1.27906e-05","8.22614e-05","0.00143203","0.000435344","6.71724e-07","1.41701e-05","2.22673e-05","7.88933e-07","9.86081e-05","-4.0987e-07"
"49","accuracy","1.08508","8.49324","0.0197118","0.995977","1.16561","0.0399813","2","-3.35624e-05","2.17009e-05","9.04849e-05","0.00191202","0.000184848","5.45721e-06","1.44172e-07","9.83467e-06","-5.20981e-06","5.12839e-05","-3.35624e-05"
"50","margin","1.24457","6.45597","0.060995","1.14124","1.34008","0.0457943","1","-3.30117e-07","1.40153e-05","8.09788e-05","0.00142982","0.000428543","6.7486e-07","1.40745e-05","2.34127e-05","5.62598e-07","9.90282e-05","-3.30117e-07"
"50","accuracy","1.08423","8.50665","0.0195056","0.995766","1.16523","0.0408982","2","-2.56785e-05","1.21298e-05","9.06276e-05","0.00190122","0.000189534","5.4231e-06","2.61892e-07","1.0048e-05","-5.2477e-06","4.85405e-05","-2.56785e-05"
